"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"경기도 안산시 단원구 와동(4127351000)","21,831","21,831","1,677","2,429","3,511","3,330","4,158","4,161","1,688","644","210","23","0","19,704","19,704","1,510","2,209","2,970","2,715","3,680","3,481","1,611","948","501","75","4"
"경기도 안산시 단원구 고잔동(4127352500)","11,031","11,031","663","1,233","2,063","1,714","1,778","2,043","994","398","138","7","0","10,999","10,999","705","1,122","1,974","1,354","1,833","2,075","997","577","309","49","4"
"경기도 안산시 단원구 중앙동(4127353200)","12,512","12,512","882","1,332","2,371","2,092","1,924","2,267","1,190","345","99","7","3","12,694","12,694","871","1,257","2,344","1,917","2,155","2,340","1,078","411","260","58","3"
"경기도 안산시 단원구 호수동(4127353500)","23,436","23,436","1,932","3,156","4,147","2,726","3,957","4,870","1,946","511","170","20","1","23,130","23,130","1,914","2,904","3,930","2,775","4,560","4,521","1,448","611","393","72","2"
"경기도 안산시 단원구 원곡동(4127354500)","4,089","4,089","176","182","363","467","835","1,122","544","299","92","8","1","2,985","2,985","177","165","254","312","518","664","448","275","154","12","6"
"경기도 안산시 단원구 백운동(4127355500)","9,382","9,382","633","1,068","1,426","1,189","1,512","1,924","1,127","404","91","8","0","9,052","9,052","666","965","1,288","1,045","1,549","1,873","1,043","415","179","23","6"
"경기도 안산시 단원구 신길동(4127356500)","12,720","12,720","1,026","1,431","1,865","1,962","2,378","2,336","1,156","441","114","11","0","11,049","11,049","994","1,355","1,421","1,477","2,011","2,015","1,037","430","268","40","1"
"경기도 안산시 단원구 초지동(4127357000)","21,546","21,546","1,945","2,721","3,380","3,282","4,022","3,690","1,622","630","233","20","1","20,569","20,569","1,907","2,612","2,881","2,769","4,085","3,348","1,573","810","483","96","5"
"경기도 안산시 단원구 선부1동(4127358000)","5,990","5,990","423","535","905","1,076","993","1,116","656","204","76","5","1","5,690","5,690","403","498","722","757","929","1,140","659","346","212","24","0"
"경기도 안산시 단원구 선부2동(4127359000)","10,914","10,914","679","1,133","1,683","1,429","2,063","2,450","963","389","108","16","1","9,163","9,163","616","1,032","1,342","1,081","1,661","1,798","890","444","259","38","2"
"경기도 안산시 단원구 선부3동(4127360000)","19,177","19,177","1,501","2,285","3,282","2,954","3,341","3,581","1,590","470","166","6","1","18,271","18,271","1,492","2,045","2,868","2,578","3,402","3,437","1,343","663","391","49","3"
"경기도 안산시 단원구 대부동(4127361000)","4,467","4,467","168","243","457","400","549","982","945","536","164","20","3","4,043","4,043","150","178","324","301","413","959","866","477","307","62","6"
"경기도 고양시 (4128000000)","512,223","512,223","43,525","57,660","75,092","67,856","90,460","92,065","49,614","24,734","10,158","986","73","531,774","531,774","41,332","54,483","71,754","70,625","96,393","92,611","49,476","33,952","18,148","2,800","200"
